,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
96869,49047,George Ritchie Hodgson,M,18.0,,,Canada,CAN,1912 Summer,1912,Summer,Stockholm,Swimming,"Swimming Men's 1,500 metres Freestyle",Gold
45233,23327,Francisco Costas,M,,180.0,,Mexico,MEX,1928 Summer,1928,Summer,Amsterdam,Athletics,Athletics Men's 100 metres,
22724,11951,Ole Einar Bjrndalen,M,40.0,178.0,65.0,Norway,NOR,2014 Winter,2014,Winter,Sochi,Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay,
205319,103095,Maurice Rozenthal,M,22.0,177.0,77.0,France,FRA,1998 Winter,1998,Winter,Nagano,Ice Hockey,Ice Hockey Men's Ice Hockey,
259392,129869,Verna Westwood,F,24.0,172.0,69.0,Australia,AUS,1980 Summer,1980,Summer,Moskva,Rowing,Rowing Women's Coxed Fours,
101543,51348,Aud Hvammen (-Lunde),F,24.0,,,Norway,NOR,1968 Winter,1968,Winter,Grenoble,Alpine Skiing,Alpine Skiing Women's Slalom,
257034,128709,Catherine Ward,F,22.0,168.0,67.0,Canada,CAN,2010 Winter,2010,Winter,Vancouver,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
212401,106646,Sophie Celina Scheder,F,19.0,167.0,56.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Women's Team All-Around,
89438,45328,Kaare Nrregaard Hammer,M,34.0,180.0,64.0,Norway,NOR,1952 Summer,1952,Summer,Helsinki,Athletics,Athletics Men's 10 kilometres Walk,
178161,89540,Petra Orszghov,F,28.0,168.0,58.0,Slovakia,SVK,2010 Winter,2010,Winter,Vancouver,Ice Hockey,Ice Hockey Women's Ice Hockey,
127606,64321,Carlyn Kruger (-Dodds),F,19.0,165.0,59.0,Canada,CAN,1956 Winter,1956,Winter,Cortina d'Ampezzo,Alpine Skiing,Alpine Skiing Women's Slalom,
208883,104867,Olavi Armas Tapani Salsola,M,22.0,180.0,68.0,Finland,FIN,1956 Summer,1956,Summer,Melbourne,Athletics,"Athletics Men's 1,500 metres",
214128,107515,Detlef Schrempf,M,29.0,205.0,96.0,Germany,GER,1992 Summer,1992,Summer,Barcelona,Basketball,Basketball Men's Basketball,
179040,89977,Toshio Otsubo,M,21.0,169.0,63.0,Japan,JPN,1964 Summer,1964,Summer,Tokyo,Diving,Diving Men's Platform,
3357,1888,Hamad Al-Easa,M,20.0,,,Kuwait,KUW,1992 Summer,1992,Summer,Barcelona,Football,Football Men's Football,
73401,37301,Lars Arne Frlander,M,26.0,184.0,83.0,Sweden,SWE,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 100 metres Butterfly,Gold
176471,88733,Pedro Diogo Tavares Martins de Oliveira,M,20.0,185.0,81.0,Portugal,POR,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 200 metres Butterfly,
159440,80022,Tatyana Ivanovna Miloserdova,F,48.0,160.0,57.0,Russia,RUS,2008 Summer,2008,Summer,Beijing,Equestrianism,"Equestrianism Mixed Dressage, Individual",
137324,69039,Fanny Ltourneau,F,21.0,165.0,59.0,Canada,CAN,2000 Summer,2000,Summer,Sydney,Synchronized Swimming,Synchronized Swimming Women's Duet,
62353,31930,Mohamed El-Azoul,M,22.0,181.0,80.0,Egypt,EGY,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,
57655,29518,Albert mile Clment Dorlia,M,29.0,,,Societ Nautique de la Marne-3,FRA,1900 Summer,1900,Summer,Paris,Rowing,Rowing Men's Coxed Fours,
86364,43776,Aleksandr Nikolayevich Gukov,M,28.0,182.0,75.0,Belarus,BLR,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 100 metres Breaststroke,
119822,60667,Maria Kirchgasser-Pichler,F,31.0,164.0,68.0,Austria,AUT,2002 Winter,2002,Winter,Salt Lake City,Snowboarding,Snowboarding Women's Parallel Giant Slalom,
264321,132276,Ryota Yamagata,M,24.0,177.0,70.0,Japan,JPN,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 100 metres,
204506,102678,Andrew Angus Ross,M,29.0,185.0,96.0,New Zealand,NZL,1998 Winter,1998,Winter,Nagano,Bobsleigh,Bobsleigh Men's Two,
253970,127173,Sandra Vlker,F,22.0,180.0,75.0,Germany,GER,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze
31827,16347,Renzo Bulgarello,M,24.0,184.0,84.0,Italy,ITA,1972 Summer,1972,Summer,Munich,Rowing,Rowing Men's Coxed Eights,
231574,116180,Karl Sudrich,M,40.0,,,Austria,AUT,1936 Summer,1936,Summer,Berlin,Fencing,"Fencing Men's Foil, Individual",
112782,57132,Lszl Kamuti,M,20.0,178.0,76.0,Hungary,HUN,1960 Summer,1960,Summer,Roma,Fencing,"Fencing Men's Foil, Team",
257854,129150,Peter Weber,M,25.0,161.0,60.0,Germany,GER,1964 Summer,1964,Summer,Tokyo,Gymnastics,Gymnastics Men's Horizontal Bar,
189271,95065,Vincenzo Pinton,M,38.0,,,Italy,ITA,1952 Summer,1952,Summer,Helsinki,Fencing,"Fencing Men's Sabre, Individual",
182316,91646,"Robert Hugh ""Bob"" Parker",M,22.0,,,New Zealand,NZL,1956 Summer,1956,Summer,Melbourne,Rowing,Rowing Men's Coxless Pairs,
41854,21579,Metin kmaz,M,,162.0,52.0,Turkey,TUR,1968 Summer,1968,Summer,Mexico City,Wrestling,"Wrestling Men's Flyweight, Greco-Roman",
82243,41768,Stepan Gorbachov,M,28.0,171.0,63.0,Kazakhstan,KAZ,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Men's Horizontal Bar,
270883,135467,Silvan Zurbriggen,M,24.0,185.0,94.0,Switzerland,SUI,2006 Winter,2006,Winter,Torino,Alpine Skiing,Alpine Skiing Men's Slalom,
170749,85819,Leonie Nichols,F,25.0,173.0,58.0,Australia,AUS,2004 Summer,2004,Summer,Athina,Synchronized Swimming,Synchronized Swimming Women's Duet,
100803,50975,Johannes Wagenaar Human,M,29.0,193.0,104.0,South Africa,RSA,1960 Summer,1960,Summer,Roma,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",
251060,125746,Bart Veldkamp,M,30.0,181.0,84.0,Belgium,BEL,1998 Winter,1998,Winter,Nagano,Speed Skating,"Speed Skating Men's 1,500 metres",
124680,62948,Gusman Sittykovich Kosanov,M,29.0,175.0,68.0,Soviet Union,URS,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's 4 x 100 metres Relay,
208218,104507,Makoto Douglas Sakamoto,M,25.0,167.0,64.0,United States,USA,1972 Summer,1972,Summer,Munich,Gymnastics,Gymnastics Men's Rings,
203748,102293,Arturo M. Romeo,M,22.0,168.0,57.0,Philippines,PHI,1964 Summer,1964,Summer,Tokyo,Cycling,"Cycling Men's Road Race, Individual",
45342,23394,Hctor Cotto Gonzlez,M,23.0,191.0,82.0,Puerto Rico,PUR,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 110 metres Hurdles,
197774,99304,Roman Razbeyko,M,27.0,188.0,89.0,Russia,RUS,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's Decathlon,
126415,63741,Robert Kranjec,M,32.0,175.0,61.0,Slovenia,SLO,2014 Winter,2014,Winter,Sochi,Ski Jumping,"Ski Jumping Men's Large Hill, Team",
133430,67169,Regan Lauscher,F,29.0,174.0,70.0,Canada,CAN,2010 Winter,2010,Winter,Vancouver,Luge,Luge Women's Singles,
258349,129368,David Bruce Leslie Weinberg,M,24.0,170.0,52.0,United States,USA,1976 Summer,1976,Summer,Montreal,Rowing,Rowing Men's Coxed Eights,
250567,125506,Hanne Vataker,F,25.0,168.0,57.0,Norway,NOR,1992 Summer,1992,Summer,Barcelona,Shooting,"Shooting Women's Small-Bore Rifle, Three Positions, 50 metres",
29515,15240,Norman Brckl,M,25.0,183.0,90.0,Germany,GER,2012 Summer,2012,Summer,London,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",
67442,34476,Jaroslav Feistauer,M,22.0,183.0,,Czechoslovakia,TCH,1932 Winter,1932,Winter,Lake Placid,Cross Country Skiing,Cross Country Skiing Men's 18 kilometres,
124055,62668,Ane Kopitar,M,26.0,192.0,100.0,Slovenia,SLO,2014 Winter,2014,Winter,Sochi,Ice Hockey,Ice Hockey Men's Ice Hockey,
7150,3996,"Kletus Vilhelm ""Wille"" Andersson",M,33.0,,,Sweden,SWE,1924 Summer,1924,Summer,Paris,Water Polo,Water Polo Men's Water Polo,
185978,93502,Bertrand Pernot du Breuil,M,25.0,,,France,FRA,1952 Summer,1952,Summer,Helsinki,Equestrianism,"Equestrianism Men's Jumping, Individual",
177214,89096,Omolara Omotosho,F,23.0,152.0,50.0,Nigeria,NGR,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 400 metres,
211533,106224,Denis Vladimirovich Savenkov,M,24.0,166.0,60.0,Belarus,BLR,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Men's Individual All-Around,
207524,104122,Mindaugas Sadauskas,M,22.0,193.0,92.0,Lithuania,LTU,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 100 metres Freestyle,
144435,72482,Liene Lutere,F,20.0,,,Latvia,LAT,1996 Summer,1996,Summer,Atlanta,Rowing,Rowing Women's Double Sculls,
24374,12774,"Wilhelm Herman Bjrn ""Willy"" Bogner, Jr.",M,18.0,182.0,70.0,Germany,GER,1960 Winter,1960,Winter,Squaw Valley,Alpine Skiing,Alpine Skiing Men's Downhill,
243821,122112,Nelson Ren Trujillo,M,20.0,173.0,60.0,Venezuela,VEN,1980 Summer,1980,Summer,Moskva,Boxing,Boxing Men's Lightweight,
260968,130591,Emma Louise Williams,F,17.0,150.0,48.0,Great Britain,GBR,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Women's Balance Beam,
117046,59268,Irina Viktorovna Khazova (Artyomova-),F,29.0,170.0,61.0,Russia,RUS,2014 Winter,2014,Winter,Sochi,Cross Country Skiing,Cross Country Skiing Women's Sprint,
155915,78286,Louis Meintjes,M,24.0,173.0,58.0,South Africa,RSA,2016 Summer,2016,Summer,Rio de Janeiro,Cycling,"Cycling Men's Road Race, Individual",
29903,15430,Josef Brtzner,M,27.0,170.0,68.0,Austria,AUT,1972 Summer,1972,Summer,Munich,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",
56860,29139,Peter Dokl,M,25.0,178.0,72.0,Slovenia,SLO,2010 Winter,2010,Winter,Vancouver,Biathlon,Biathlon Men's 12.5 kilometres Pursuit,
39769,20438,Ivan Yuryevich Cherezov,M,25.0,173.0,73.0,Russia,RUS,2006 Winter,2006,Winter,Torino,Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay,Silver
232910,116826,Rina Suzuki,F,23.0,160.0,55.0,Japan,JPN,2014 Winter,2014,Winter,Sochi,Biathlon,Biathlon Women's 7.5 kilometres Sprint,
160351,80464,Yannick Audry Mitoumba Mbemy,M,25.0,167.0,67.0,Gabon,GAB,2012 Summer,2012,Summer,London,Boxing,Boxing Men's Welterweight,
245836,123103,Raluca Antonina Udroiu,F,18.0,178.0,68.0,Romania,ROU,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Women's 4 x 100 metres Medley Relay,
22936,12061,Rosetta Phoebe Blair-White (Newell-),F,29.0,,,Ireland,IRL,1924 Summer,1924,Summer,Paris,Tennis,Tennis Women's Singles,
112711,57098,Anna-Karin Simone Kammerling,F,19.0,193.0,68.0,Sweden,SWE,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Women's 50 metres Freestyle,
177435,89187,Takashi Ono,M,33.0,160.0,58.0,Japan,JPN,1964 Summer,1964,Summer,Tokyo,Gymnastics,Gymnastics Men's Horse Vault,
85016,43140,Joan Groothuysen,F,22.0,167.0,57.0,Canada,CAN,1980 Winter,1980,Winter,Lake Placid,Cross Country Skiing,Cross Country Skiing Women's 4 x 5 kilometres Relay,
148432,74473,Valentyn Hryhorovych Mankin,M,41.0,179.0,92.0,Soviet Union,URS,1980 Summer,1980,Summer,Moskva,Sailing,Sailing Mixed Two Person Keelboat,Gold
143545,72051,Frank Luck,M,30.0,179.0,76.0,Germany,GER,1998 Winter,1998,Winter,Nagano,Biathlon,Biathlon Men's 10 kilometres Sprint,
75252,38187,Jos David Galvn Martnez,M,24.0,168.0,54.0,Mexico,MEX,2000 Summer,2000,Summer,Sydney,Athletics,"Athletics Men's 10,000 metres",
52744,27081,Inge Dekker,F,22.0,183.0,67.0,Netherlands,NED,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
167982,84397,Dorcas Nakhomicha Ndasaba,F,33.0,174.0,70.0,Kenya,KEN,2004 Summer,2004,Summer,Athina,Volleyball,Volleyball Women's Volleyball,
11785,6430,Shirley Frances Babashoff,F,19.0,178.0,67.0,United States,USA,1976 Summer,1976,Summer,Montreal,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
7020,3939,Kim Verner Andersson,M,29.0,200.0,105.0,Sweden,SWE,2012 Summer,2012,Summer,London,Handball,Handball Men's Handball,Silver
215167,108018,Peter Scott,M,19.0,178.0,70.0,South Africa,RSA,2010 Winter,2010,Winter,Vancouver,Alpine Skiing,Alpine Skiing Men's Giant Slalom,
184541,92754,Keijo Tapio Pehkonen,M,27.0,164.0,56.0,Finland,FIN,1992 Summer,1992,Summer,Barcelona,Wrestling,"Wrestling Men's Bantamweight, Greco-Roman",
211556,106235,Mila Savi,F,26.0,173.0,60.0,Serbia and Montenegro,SCG,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Women's 200 metres,
210088,105479,Pavel Pavlovich Sankovich,M,22.0,182.0,77.0,Belarus,BLR,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 100 metres Backstroke,
63719,32644,Alfred Bertran Engelsen,M,19.0,,,Norway,NOR,1912 Summer,1912,Summer,Stockholm,Gymnastics,"Gymnastics Men's Team All-Around, Free System",Gold
155423,78023,Patrizia Medail Occioni Bonaffons,F,18.0,159.0,52.0,Italy,ITA,1964 Winter,1964,Winter,Innsbruck,Alpine Skiing,Alpine Skiing Women's Giant Slalom,
215270,108070,Matthias Seack,M,22.0,193.0,83.0,West Germany,FRG,1984 Summer,1984,Summer,Los Angeles,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",
134044,67495,Jean-Louis le Clerc,M,24.0,187.0,82.0,Belgium,BEL,1964 Summer,1964,Summer,Tokyo,Hockey,Hockey Men's Hockey,
250522,125483,Angelo Vassallo,M,,,,Italy,ITA,1920 Summer,1920,Summer,Antwerpen,Water Polo,Water Polo Men's Water Polo,
64804,33151,Shitaye Eshete Habtegebrel,F,26.0,164.0,51.0,Bahrain,BRN,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's Marathon,
171884,86368,August Nilsson,M,27.0,,,Sweden,SWE,1900 Summer,1900,Summer,Paris,Athletics,Athletics Men's Pole Vault,
86343,43766,Maurice Guiraud Rivire,M,43.0,,,France,FRA,1924 Summer,1924,Summer,Paris,Art Competitions,Art Competitions Mixed Sculpturing,
234473,117583,Lszl Szomjas,M,19.0,,,Hungary,HUN,1924 Summer,1924,Summer,Paris,Shooting,"Shooting Men's Trap, Team",
170176,85513,Pauli Lauri Nevala,M,27.0,177.0,83.0,Finland,FIN,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's Javelin Throw,
59031,30219,Suwimol Duandchan,F,18.0,162.0,55.0,Thailand,THA,1992 Summer,1992,Summer,Barcelona,Tennis,Tennis Women's Doubles,
234394,117542,"Istvn Szivs, Sr.",M,36.0,,,Hungary,HUN,1956 Summer,1956,Summer,Melbourne,Swimming,Swimming Men's 200 metres Breaststroke,
128335,64611,Gbor Kucsera,M,19.0,180.0,78.0,Hungary,HUN,1968 Summer,1968,Summer,Mexico City,Swimming,Swimming Men's 100 metres Freestyle,
156682,78706,Meng Guanliang,M,27.0,185.0,90.0,China,CHN,2004 Summer,2004,Summer,Athina,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",
210955,105935,Makoto Sasamoto,M,27.0,163.0,60.0,Japan,JPN,2004 Summer,2004,Summer,Athina,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",
133750,67345,Danielle Elaine Lawrie,F,21.0,198.0,75.0,Canada,CAN,2008 Summer,2008,Summer,Beijing,Softball,Softball Women's Softball,
128193,64558,Dariusz Stanisaw Ku,M,22.0,178.0,64.0,Poland,POL,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 4 x 100 metres Relay,
181044,90994,"John Edward ""Jack"" Pancott",M,27.0,168.0,64.0,Great Britain,GBR,1960 Summer,1960,Summer,Roma,Gymnastics,Gymnastics Men's Pommelled Horse,
103845,52544,Svetlana Ishkova,F,21.0,165.0,57.0,Argentina,ARG,2000 Summer,2000,Summer,Sydney,Diving,Diving Women's Springboard,
201932,101415,"Elizabeth M. ""Betty"" Robinson (-Schwartz)",F,16.0,167.0,57.0,United States,USA,1928 Summer,1928,Summer,Amsterdam,Athletics,Athletics Women's 100 metres,Gold
154234,77443,"Michael James ""Mike"" McDermott",M,27.0,,,United States,USA,1920 Summer,1920,Summer,Antwerpen,Swimming,Swimming Men's 400 metres Breaststroke,
30819,15878,Mario Bruzzone,M,40.0,,,Bamba,ITA,1928 Summer,1928,Summer,Amsterdam,Sailing,Sailing Mixed 8 metres,
250931,125688,Michael Veith,M,23.0,188.0,82.0,West Germany,FRG,1980 Winter,1980,Winter,Lake Placid,Alpine Skiing,Alpine Skiing Men's Downhill,
257558,128978,"Lynette Pamela ""Lynne"" Watson (-Bates)",F,15.0,172.0,60.0,Australia,AUS,1968 Summer,1968,Summer,Mexico City,Swimming,Swimming Women's 100 metres Freestyle,
29803,15379,Freddy Brooks Bong,M,22.0,187.0,84.0,Cuba,CUB,1992 Summer,1992,Summer,Barcelona,Volleyball,Volleyball Men's Volleyball,
159083,79855,Ian Millar,M,37.0,185.0,76.0,Canada,CAN,1984 Summer,1984,Summer,Los Angeles,Equestrianism,"Equestrianism Mixed Jumping, Individual",
208503,104660,Pablo Salazar Snchez,M,21.0,178.0,74.0,Costa Rica,CRC,2004 Summer,2004,Summer,Athina,Football,Football Men's Football,
161760,81215,Henri Julien Mollin,M,25.0,181.0,75.0,Belgium,BEL,1984 Winter,1984,Winter,Sarajevo,Alpine Skiing,Alpine Skiing Men's Downhill,
259299,129821,Malin Westerheim,F,18.0,180.0,75.0,Norway,NOR,2012 Summer,2012,Summer,London,Shooting,"Shooting Women's Small-Bore Rifle, Three Positions, 50 metres",
76531,38842,Enrico Garozzo,M,27.0,190.0,70.0,Italy,ITA,2016 Summer,2016,Summer,Rio de Janeiro,Fencing,"Fencing Men's epee, Team",Silver
121108,61250,Margarita Vyacheslavovna Klimenko,F,18.0,172.0,67.0,Russia,RUS,1998 Winter,1998,Winter,Nagano,Luge,Luge Women's Singles,
81970,41624,Norma Gonzlez Camilde,F,22.0,172.0,58.0,Colombia,COL,2004 Summer,2004,Summer,Athina,Athletics,Athletics Women's 4 x 100 metres Relay,
21382,11285,Czesaw Gerwazy Biaas,M,21.0,169.0,86.0,Poland,POL,1952 Summer,1952,Summer,Helsinki,Weightlifting,Weightlifting Men's Light-Heavyweight,
46467,23968,Peter Crotty,M,24.0,,,Ireland,IRL,1952 Summer,1952,Summer,Helsinki,Boxing,Boxing Men's Welterweight,
140529,70549,Liu Changcheng,M,22.0,,,China,CHN,1984 Winter,1984,Winter,Sarajevo,Alpine Skiing,Alpine Skiing Men's Giant Slalom,
115015,58261,Igors Kazakvis,M,32.0,176.0,68.0,Latvia,LAT,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 50 kilometres Walk,
9094,5002,Paul Arets,M,,,,Belgium,BEL,1920 Summer,1920,Summer,Antwerpen,Gymnastics,"Gymnastics Men's Team All-Around, Swedish System",Bronze
211740,106315,"Anzhelika ""Angelica"" Savrayuk",F,22.0,175.0,49.0,Italy,ITA,2012 Summer,2012,Summer,London,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Bronze
261959,131061,Carl Winters,M,22.0,180.0,70.0,Belgium,BEL,1976 Summer,1976,Summer,Montreal,Sailing,Sailing Mixed Two Person Dinghy,
235907,118289,"Howe Liang ""Tiger"" Tan",M,23.0,160.0,69.5,Singapore,SGP,1956 Summer,1956,Summer,Melbourne,Weightlifting,Weightlifting Men's Lightweight,
90285,45755,Jrgen Wagner Hansen,M,26.0,,,Denmark,DEN,1952 Summer,1952,Summer,Helsinki,Football,Football Men's Football,
181860,91413,Miguel ngel Pariente lvarez,M,27.0,169.0,65.0,Spain,ESP,1992 Summer,1992,Summer,Barcelona,Baseball,Baseball Men's Baseball,
54046,27721,V'iacheslav Vasylovych Derkach,M,33.0,175.0,69.0,Ukraine,UKR,2010 Winter,2010,Winter,Vancouver,Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay,
194003,97390,Anna Vasilyevna Puchkova (-Areshka),F,26.0,163.0,58.0,Belarus,BLR,2004 Summer,2004,Summer,Athina,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",
214634,107755,Robert Schurrer,M,22.0,,,France,FRA,1912 Summer,1912,Summer,Stockholm,Athletics,Athletics Men's 4 x 400 metres Relay,Silver
40966,21107,Marek Piotr Cholewa,M,20.0,176.0,72.0,Poland,POL,1984 Winter,1984,Winter,Sarajevo,Ice Hockey,Ice Hockey Men's Ice Hockey,
157459,79060,Magali Di Marco Messmer (Chopard-),F,29.0,166.0,53.0,Switzerland,SUI,2000 Summer,2000,Summer,Sydney,Triathlon,Triathlon Women's Olympic Distance,Bronze
249406,124884,Erik van Rossem,M,25.0,175.0,68.0,Netherlands,NED,1964 Summer,1964,Summer,Tokyo,Hockey,Hockey Men's Hockey,
183062,92001,Mitesh Kishorbhai Patel,M,28.0,175.0,68.0,New Zealand,NZL,2004 Summer,2004,Summer,Athina,Hockey,Hockey Men's Hockey,
179416,90160,Yelena Valeryevna Ovchinnikova,F,26.0,173.0,61.0,Russia,RUS,2008 Summer,2008,Summer,Beijing,Synchronized Swimming,Synchronized Swimming Women's Team,Gold
250853,125641,Andrus Veerpalu,M,26.0,182.0,73.0,Estonia,EST,1998 Winter,1998,Winter,Nagano,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,
114386,57923,Kamil Kak,M,27.0,178.0,78.0,Czech Republic,CZE,1994 Winter,1994,Winter,Lillehammer,Ice Hockey,Ice Hockey Men's Ice Hockey,
195377,98088,Antonio Raki,M,20.0,177.0,74.0,Croatia,CRO,1994 Winter,1994,Winter,Lillehammer,Cross Country Skiing,Cross Country Skiing Men's 30 kilometres,
105388,53313,Finn Christian Jagge,M,21.0,178.0,89.0,Norway,NOR,1988 Winter,1988,Winter,Calgary,Alpine Skiing,Alpine Skiing Men's Super G,
54748,28063,Manuela Di Centa,F,21.0,164.0,55.0,Italy,ITA,1984 Winter,1984,Winter,Sarajevo,Cross Country Skiing,Cross Country Skiing Women's 5 kilometres,
125058,63117,Igors Kostins,M,22.0,185.0,95.0,Latvia,LAT,2004 Summer,2004,Summer,Athina,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",
243125,121762,Roger Francis Tredgold,M,36.0,,,Great Britain,GBR,1948 Summer,1948,Summer,London,Fencing,"Fencing Men's Sabre, Individual",
44018,22683,Jared Connaughton,M,27.0,175.0,79.0,Canada,CAN,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 200 metres,
210901,105909,Kazunari Sasaki,M,31.0,165.0,63.0,Japan,JPN,1994 Winter,1994,Winter,Lillehammer,Cross Country Skiing,Cross Country Skiing Men's 50 kilometres,
58679,30026,"Nicolaas ""Nick"" Driebergen",M,24.0,185.0,75.0,Netherlands,NED,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 4 x 100 metres Medley Relay,
121873,61613,Bernd Knuppel Barenberg,M,26.0,183.0,96.0,Uruguay,URU,1988 Summer,1988,Summer,Seoul,Sailing,Sailing Mixed Two Person Keelboat,
245638,123012,Giorgos Tziallas,M,25.0,189.0,91.0,Greece,GRE,2012 Summer,2012,Summer,London,Rowing,Rowing Men's Coxless Fours,
141900,71185,Axel Fredrik Londen,M,52.0,,,Finland,FIN,1912 Summer,1912,Summer,Stockholm,Shooting,"Shooting Men's Running Target, Single Shot, Team",Bronze
101280,51204,Thor Hushovd,M,22.0,183.0,84.0,Norway,NOR,2000 Summer,2000,Summer,Sydney,Cycling,Cycling Men's Individual Time Trial,
269990,135071,Olaf Zinke,M,25.0,182.0,80.0,Germany,GER,1992 Winter,1992,Winter,Albertville,Speed Skating,"Speed Skating Men's 1,500 metres",
87030,44143,"Katharina Anna ""Katrin"" Gutensohn (-Knopf-)",F,27.0,171.0,58.0,Germany,GER,1994 Winter,1994,Winter,Lillehammer,Alpine Skiing,Alpine Skiing Women's Super G,
89331,45280,Glenn Donald Hamilton,M,29.0,,,New Zealand,NZL,1996 Summer,1996,Summer,Atlanta,Beach Volleyball,Beach Volleyball Men's Beach Volleyball,
187852,94386,Phm Vn Thnh,M,21.0,169.0,59.0,Vietnam,VIE,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Men's 200 metres Backstroke,
140950,70760,Diego Lizardi Marcial,M,20.0,165.0,65.0,Puerto Rico,PUR,1996 Summer,1996,Summer,Atlanta,Gymnastics,Gymnastics Men's Individual All-Around,
216523,108710,Seo So-Yeong,F,15.0,,,South Korea,KOR,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,
72222,36740,Renos Frangoudis,M,27.0,170.0,,Greece,GRE,1936 Summer,1936,Summer,Berlin,Athletics,Athletics Men's 200 metres,
241500,120963,"Desmond Neame ""Des"" Tomlinson",M,25.0,175.0,70.0,Zimbabwe,ZIM,1964 Summer,1964,Summer,Tokyo,Hockey,Hockey Men's Hockey,
264311,132269,Takahiro Yamada,M,24.0,167.0,59.0,Japan,JPN,1988 Summer,1988,Summer,Seoul,Gymnastics,Gymnastics Men's Pommelled Horse,
98756,49980,"Christopher ""Chris"" Horner",M,40.0,178.0,64.0,United States,USA,2012 Summer,2012,Summer,London,Cycling,"Cycling Men's Road Race, Individual",
87791,44501,Bruno Habrovs,M,25.0,182.0,78.0,Soviet Union,URS,1964 Summer,1964,Summer,Tokyo,Fencing,"Fencing Men's epee, Individual",
5488,3098,Nils Olof sten Althin,M,27.0,,,Sweden,SWE,1932 Summer,1932,Summer,Los Angeles,Boxing,Boxing Men's Welterweight,
30999,15961,Kjersti stgrd Buaas,F,32.0,161.0,57.0,Norway,NOR,2014 Winter,2014,Winter,Sochi,Snowboarding,Snowboarding Women's Slopestyle,
106174,53709,Jan Wadysaw Jankowicz,M,31.0,164.0,67.0,Poland,POL,1964 Summer,1964,Summer,Tokyo,Gymnastics,Gymnastics Men's Rings,
43836,22595,"Josephine ""Jos"" Compaan",F,22.0,179.0,65.0,Netherlands,NED,1980 Summer,1980,Summer,Moskva,Rowing,Rowing Women's Coxed Quadruple Sculls,
52130,26795,Laura de Witte,F,20.0,173.0,61.0,Netherlands,NED,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 4 x 400 metres Relay,
227888,114482,Bohuslav astn,M,26.0,180.0,83.0,Czechoslovakia,TCH,1976 Winter,1976,Winter,Innsbruck,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver
217623,109310,Alena Sharp,F,35.0,168.0,69.0,Canada,CAN,2016 Summer,2016,Summer,Rio de Janeiro,Golf,Golf Women's Individual,
